index,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
74251,c6a29bad26183dcf,"""
I haven't paraphrased you at all, Gary.  You complained that preferring recent sources to those """"well over 3 years old"""" is """"recentism"""".  I pointed out that it is strongly encouraged by MEDRS, and for good reason. Again, if you take issue with that, then you need to raise it at the appropriate talk page.   """,0,0,0,0,0,0
131406,befd36e7acca9e56,I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS! I BLOCKED REVERS!,1,0,0,0,0,0
120969,8734c26db56d1763,"I'm sorry. I'd like to unreservedly retract my previous statement. You are not in any conceivable way a sad, pathetic loser with nothing better to do with your life than going around trying to censor other people's points of view. I am truly sorry if I in any way suggested or implied that this was the case.",0,0,0,0,1,0
121827,8bcf03120412d869,"I don't know if this is exactly like the Press Release but you can use this as a source:

http://tvguide.sympatico.msn.ca/RealityTV/Articles/090624_hells_kitchen_6_contestants_AD",0,0,0,0,0,0
4771,0ca7b705720d6956,"Thank you all, we'll all improve the Wikipedia in 2007
Dear all! Thanks for the warm wishes and all the emails that came in while I was at the New Year's vacation.

Now that I checked back for what has been going on in the last ten days while I was away the situation seems hopeful indeed. The bunch of scandalous action inspired by the secretive plottings are still being discusses and widely condemned and I see I see a strong momentum of the community of the Wikipedia editors to finally put a decisive end to the secretive activity at the closed channels followed by the drastically insulting onwiki actions. I am also hopeful that the new arbcom will act on the recent developments.  

Happy New 2007 to all!
 ]]",0,0,0,0,0,0
79050,d38fe8b8c4482531,"I removed
If V is separable, it follows that any vector in V can be written as a (possibly infinite) linear combination of vectors from S.
Linear combinations are by definition finite, so we would have to say a bit more to make this statement precise. Even then, I'm not sure that it is true in general (it surely works in Hilbert spaces though).  18:12 29 May 2003 (UTC)",0,0,0,0,0,0
86098,e651763f3699fa34,Leave your emotions out of it. That is the exact issue I am having with the majority of the information contained within this article - emotional and speculative.76.111.172.54,0,0,0,0,0,0
55703,94d3c26242046ef5,"another thing this article needs is a description of the government's theory as to why they did a 3-year investigation, only to drop it.  apparently, pgp got out, somehow.  maybe that meant that a crime was committed, but not necessarily by zimmerman.  did the government ever have a reasonable belief that zimmerman violated the law?",0,0,0,0,0,0
113939,6163576bda45f298,"""
You may take my word for it that it is. andemu """,0,0,0,0,0,0
19481,3370353ada7e4711,"20, 19 March 2010 (UTC)
I do. This isn't a science encyclopedia. Perhaps you should write for one, instead of trying to turn a general interest encyclopedia into one. ++: t/c 02",0,0,0,0,0,0
156908,d582f4f4ed38aa96,"""

 I am being harrassed, can you help? 

I am being harrassed by  (talk|contribs) """,0,0,0,0,0,0
138416,e4850c3e93aca01d,"I appreciate your assistance, Dave.  I'll go take a look at your suggestions now.",0,0,0,0,0,0
45134,78ae2ad46e88aa8f,REDIRECT Talk:Small-toothed fruit bat,0,0,0,0,0,0
152924,94c3722172bdd1a8,"should unless someone can provide additional citation. 

The baboon incident, while no one seems to claim it didn't happen, may be classed as WP:FRINGE and hence non-encyclopedic example due to the fact that it was not published in a scholarly journal (notwithstanding the researcher's reputation for unethical behavior)",0,0,0,0,0,0
138624,e5b860e7e25edd8a,"""::::Thanks for restoring the article indeed. You have hoewever ommited the history section which by ignoring this section it does not enable us to work on it and improve quality of the asection and remove any doubts of copyvio. I remember vaguely the history section being the largest of all and the article is seriously truncated of useful and important information as it stands. Cheers,  and the Mysterons 

""",0,0,0,0,0,0
134905,d183afb699f52b04,"""

 A barnstar for you! 

  The Tireless Contributor Barnstar For your continuous effort on Bhagat Singh to make a GA. Glad to have you around, Keep It Up -)    ʈ ᶏ ɭ Ϟ """,0,0,0,0,0,0
79913,d5db04300ab854a9,"The Confirmed Tracks Section 

I thought Stupid Hoe and Roman in Moscow were just buzz singles/teasers? Is it confirmed that they will appear on the album given that the first actual single is Starships?",0,0,0,0,0,0
41396,6e693b72ba6a54ed,ok thanks nice to hear from you ok well I'll not contact you any more if it makes you feel uncomfortable we'll just keep this entre nous.  Oh by the way I moved to the US at least for 6 monhs,0,0,0,0,0,0
79167,d3e5362399f14318,"and you're a stereotyping autistic little cunt, fuck off Jew lover. (92.232.0.21  )",1,1,1,0,1,1
75279,c95e7767f82a5dae,The supposed loss of content was due to rewording.,0,0,0,0,0,0
116094,6cba35cf4fa84953,"block user:sco1996
Dear Syrthiss.
sco1996 is continuing to sockpuppet none sockpuppet users causing general trouble to the site he is using inappropriate languages on pages and generally disusing the site i also know he has two accounts although i am not sure of the name of the second. please can you stop him.
from Tariq.",0,0,0,0,0,0
10817,1c99b28348a57679,"""

Machida returned to his native Brazil to face Phil Davis on August 3, 2013 at UFC 163.[44][45] In a unanimous result, Davis defeated Machida via decision.[46][47] 13 of 13 ufc media outlets scored the bout in favor of Machida.[47] Davis had takedowns near the end of rounds one and two, after neither fighter was able to mount any significant offense. Davis mounted significant offense, as it won him the fight. ESPN scored for Davis. Many UFC shills with hall passes that could be taken away and votes on the ufc rankings, but zero in the way of journalistic credentials of any discernible pedigree in journalism scored the fight 30-27 in favor of Machida.[48] UFC promoter, sport hater, and just bleed advocate, Dana White stated shortly after the fight that he had Machida winning all three rounds,[49] and later told Yahoo! Sports that """"Machida definitely won"""" and """"MMA judging sucks"""".[50] Fightmetric Analysis supports this, showing that Machida outstruck Phil Davis, and neutralized 80% of Davis' takedown attempts, with a significantly higher efficiency rating through all three rounds.[51] ESPN released a similar analysis tracking each fighter's activity in each category, and reporting the 29-28 victory for davis.

theres the truth.

i challenge any man, woman or trans to dispute one word of it. wikilies has taken the place of a once great outlet for truth.""",0,0,0,0,0,0
7825,14d5900bec9174d5,"""
 Well, have a look at this photo, especially what the grabber is doing with his hands - it's very plausible and highly likely that there were scratches.
 I use """"grabber"""" guardedly, since a person who by force of arms takes and carries away is a robber, at least here under the common law, so a more accurate description would be """"attempted robber"""".
 As for your argument about idiocy... that's like saying rape victims are at fault by wearing skimpy dresses. What's wrong is wrong is wrong - and using violence against an innocent civilian to promote a political agenda is wrong, and you cannot justify it by the (tenuously connected) actions of another.  (Talk) 

""",0,0,0,0,0,0
85498,e4b091ce228fa297,REDIRECT Talk:1995 South Asian Gold Cup,0,0,0,0,0,0
16112,2a87d321d641fadc,"""
Okay well this book was published before his trial and him being """"discredited"""". Doesn't that make it a reliable source? It's not the book he was sued for, that was """"Hitler's war"""", published after the book being reviewed. Just to make it clear I'm not trying to whitewash the Nazis or anything and say they didn't commit war crimes, obviously they did. I am just trying to make sure both sides of an academic issue are presented.  """,0,0,0,0,0,0
92786,f8194852e0f3fc6a,"Excuse me, I don't like being ignored...could you please respond?",0,0,0,0,0,0
64213,abd48df53b8a689a,Asking some his nationality is a Racial offence. Wow wasn't aware of it.  Blocking me has shown your support towards your community. Thanku for that,0,0,0,0,0,0
61569,a4cdbdbf3cf98862,"Negative Support for merger.  Well logging covers many many more disciplines than electric line.  Well logging covers mudlogging, LWD, DST, etc., surely you don't plan on merging those into well logging?  Ideally well logging should look something like Well intervention where it gives brief snippets of different well logging methods and links over to them.  I think the data in well logging should be merged into the other wikipedia entries.  Finally, electric line does not always produce a log.  Perforating services and mechanical services, like those used to set plugs, packers, and cement, do not necessarily produce any well logs at all, yet they are very important aspects of wireline operations.  Entire wireline companies never produce electric line logs (namely, plug and abandonment companies)",0,0,0,0,0,0
137788,e15eb4a4164dd318,"""

If you're sure that the company did not renew the (c) on these - then the appropriate license template would be , if you're not sure, then  would be appropriate. The appropriate fair use template for these would be  (filling in the appropriate fields).  (talk) """,0,0,0,0,0,0
103484,29b98aa269c97fa6,"Regarding your sexuality
Is it true you iz a homo nigga? You is a skinny little dork fuck aren't ya? You have never had pussy have you boy? Never. You is a ninny is what you is. One one nigga. Bang blunts all day long son.",1,1,1,0,1,1
24428,409195756e7360b3,"Poor Wolfy you are so deluded. You have never added anything of any use to the PD article. You don't even know basics. You're not a specialist. You're just a GP with all the ignorance that involves. You plainly don't keep up to date with PD because you keep on proving how dated your knowledge of it is. You keep on referring to some basic medical text. If it isn't in that book it isn't true according to you. I've read over 80 books on Parkinson's Disease. Even that isn't 5% of what I know. I spent over three years just on its biochemistry. What you know about PD biochemistry you could LITERALLY write on the back of a matchbox. As you have nothing useful to add you just revert everybody. You plainly suffer from intolerance, ignorance, conservatism and obsessions. You're detrimental to WP. So for good measure I've reverting dozens of your old edits - the ones you no longer check - just taking out the bits you added - all using different names of course.",1,0,0,0,0,0
8609,16da644178f9832c,"I haven't had time to read all the comments but i just want to say that this article still needs ALOT pf work, not only in wikipedia standards but also because almost every single article is written better than this one. I mean come on guys we can't let the rest of the zodiacs show us up >.>. As a fellow Pisces I agree that yes we are the best, but in the future lets try to keep the article as neutral as possible. Even I can read the article and tell that some of the people who have been editing it have been self bragging on ourselves. Also there are multiple books printed that would be reliable sources for zodiac stuff.",0,0,0,0,0,0
106730,3ad2ac1502a5b739,FUCK YOU! the source is the top 100 LOWEST ACCEPTANCE RATES. In what world is that not a source you asshole!,1,1,1,0,1,0
140398,ef4add3d806f4fd4,"what are you stalking me or something?  
What are you stalking my edits or something?",0,0,0,0,0,0
158745,f3181ea7347f393c,"""

Ok, so we simply take away the info about 'one' railway and put it in a seperate section to indicate life before NXEA so as to 
""""declutter"""" the article without having to make a new one?   """,0,0,0,0,0,0
124513,9a162033a2181b2c,"""
 Ah, shit. I can't help myself. If I understand """"Hodja"""" (whose previous website id was """"Biophys"""" and is currently working some kind of deal here  if I'm following along Ok) my edits had something to do with """"the worst area of discretionary sanctions in the entire project. Other conflict areas are nothing compare (sic) to that."""" What is this area?  """,0,0,1,0,0,0
77486,cf990325fce53b8c,"Wikipedia Articles 

Hi, Wikipedia articles are intended to be the products of teamwork. No article should be owned by one Wikipedia editor in particular. Am I correct about this? Thanks.",0,0,0,0,0,0
121751,8b5cb0da6ed7c711,"""

""""Corroborating evidence"""" is unclear and is another way of saying """"I don't want this information on the web-page because I am opposed to it.""""  As I stated before, the information should be on the page, particularly since it is biographical information that the person about whom the biography was written has stated publicly, both in the Google Video and under testimony during Charles Calderon's proposal of the porn tax bill before the California state assembly.  I am not deleting any of your information, but you are deleting mine.  If you don't approve of facts that have been stated by and individual - and they are biographical facts - then you may create an entire separate section on Lubben on this webpage.  Please refrain from deleting sources and citations.Veritas, Semper """,0,0,0,0,0,0
1361,03b209cb784d7a36,"""

No!  This is a GROUP EFFORT!  Wikipedia is a collaborative COMMUNITY and there are no school essays here.  The article needs to be more professional and adopt a better title besides the references.  This is all that needs to be done, so get off your high horse and accomplish what you want to see done.  If you have these goals, then put yourself to the test of solving this problem.  That's what I do whenever something perturbs me.  You're just looking for a fight about something you admittedly care nothing about.  How about I come by your house and criticise your gardens?  """"Why?"""" You say.  """"Because they are too fucking ugly and I don't like the way they  don't blend in with the neighbours' yards.  So tacky, but I'm only passing by and I've never been down this road before.""""   15:24, 25 Feb 2005 (UTC)""",1,0,1,0,0,0
67392,b4502c01e14f670a,""" 

I really don't know why I ever donated to you. Banning someone for something that happened over a month previously and then reverting my page when I request to be unbanned... not very """"free"""".

""",0,0,0,0,0,0
115377,6900b6291c94652d,"""
In that case your means of simply reverting the whole thing is simply a bad edit, instead of making corrections where I may have gone wrong, you instead revert the whole thing, despite the improvements, that's just lazy editing. If you want to discuss the changes I have made further, then discuss it on the talk page. |}} """,0,0,0,0,0,0
