variable,data_set,type,variable
id,train_observations,object,
comment_text,train_observations,object,
toxic,train_observations,int64,
severe_toxic,train_observations,int64,
obscene,train_observations,int64,
threat,train_observations,int64,
insult,train_observations,int64,
identity_hate,train_observations,int64,
num_chars,train_observations,int64,
tokens,train_observations,object,
num_tokens,train_observations,int64,
percent_unique_tokens,train_observations,float64,
is_toxic,train_observations,int64,
